feature,importance_gain,importance_split
card1,4454757.302179337,6963
R_emaildomain,901195.3395557404,230
C1,560334.8382492065,331
C14,494342.07723999023,183
D3,461347.2049045563,132
addr1,444994.91243362427,1642
card2,401614.7582702637,1025
C5,363626.8766403198,64
D2,224410.16826820374,246
C13,150701.92808914185,254
TransactionAmt,130339.4272556305,363
P_emaildomain,115089.81317710876,476
TransactionDT,115075.02108764648,375
D8,93061.30752372742,204
C2,83687.17279624939,127
ProductCD,76742.37629127502,83
C11,59490.015672683716,103
C4,55152.09135437012,28
D15,43811.649087905884,198
M5,42222.249099731445,97
card3,38724.18867111206,148
C6,36200.33476257324,77
D1,34425.01700592041,113
D4,31877.93306159973,145
D5,31639.56880569458,62
D10,31293.434894561768,86
C8,28797.20153427124,53
M6,20172.813175201416,61
C9,15891.505592346191,111
D13,14073.457290649414,100
D14,12500.228929519653,98
dist1,12470.658422470093,117
card5,11891.604288101196,116
C12,10968.136520385742,43
D6,8182.884872436523,42
M4,7173.7658615112305,69
D7,7117.118743896484,36
dist2,6625.157346725464,98
D9,6008.862730026245,60
D12,5993.163974761963,45
D11,5905.50431060791,69
M3,5482.866315841675,34
M9,3359.801351547241,28
M2,3304.6116065979004,20
addr2,2932.2909393310547,2
C7,1600.3493633270264,9
M8,1214.0160903930664,10
C10,1153.1098976135254,19
M7,402.04309844970703,5
M1,0.0,0
