feature,importance_gain,importance_split
card1,4349370.4985637665,6747
R_emaildomain,900254.4180469513,191
C1,565229.6775588989,298
C14,478096.72365760803,162
D3,452910.53515434265,117
addr1,435012.4793319702,1566
card2,426915.43978500366,998
C5,363903.08208084106,64
DeviceInfo,294977.0821990967,868
D2,204648.58401107788,209
C13,146693.6471004486,257
TransactionAmt,131802.1632423401,344
TransactionDT,112650.27989578247,312
P_emaildomain,102002.56656455994,422
D8,82434.28532981873,131
C11,79656.73162460327,85
ProductCD,56816.158348083496,74
C2,56089.85949707031,117
D1,51621.63726043701,109
D15,46402.5172958374,201
M5,43120.59398651123,86
C8,41616.40974998474,57
D5,34094.29702949524,68
C4,31848.159896850586,11
C6,29641.013397216797,75
D10,29263.49239730835,98
card3,27694.298919677734,106
D4,27462.649654388428,134
M6,23943.683561325073,60
card6,17392.53993988037,12
C9,17048.062702178955,113
card5,15734.475608825684,141
C12,10948.148357391357,44
dist1,10833.525566101074,83
D14,10423.270589828491,93
M4,9181.208164215088,65
D13,8923.956670761108,60
D7,6446.324998855591,40
M3,6382.018287658691,33
D6,6070.8743724823,35
D11,5507.371189117432,61
DeviceType,4939.095771789551,24
D12,4735.308681488037,34
dist2,4251.57409286499,56
D9,2957.5931129455566,35
C7,2715.3860511779785,17
M9,2690.4969787597656,29
M2,2557.5109901428223,18
addr2,1180.9037590026855,2
M8,935.335807800293,13
C10,931.3409061431885,15
M7,909.9670944213867,9
M1,94.970703125,1
card4,0.0,0
