feature,importance_gain,importance_split
card1,4425226.246440887,6616
R_emaildomain,890635.475894928,171
C1,551764.6664276123,304
C14,479823.26781463623,131
D3,450110.72570610046,122
addr1,441996.18464279175,1571
card2,379133.4283027649,802
C5,358401.96991348267,46
DeviceInfo,282098.232339859,844
D2,186186.9030342102,182
TransactionAmt,125889.0114440918,294
C13,123613.65031433105,224
TransactionDT,107015.77372550964,266
P_emaildomain,99843.7539844513,398
D8,80040.43313407898,103
C2,72508.68992996216,134
C11,71523.90768623352,91
ProductCD,68695.80681037903,72
graph_prior_card_transaction_count,51410.17785072327,289
D15,47763.40669441223,178
M5,38317.39303970337,81
D1,34679.569343566895,89
C8,33299.16315078735,38
D5,32820.02317047119,56
C6,32785.283041000366,72
C4,32719.15602874756,11
D4,29762.377067565918,114
D10,25160.32439994812,101
card3,24144.06014442444,104
graph_prior_address_distinct_cards,20647.080196380615,76
M6,18650.44823074341,54
graph_prior_device_transaction_count,17999.67419242859,103
graph_prior_card_distinct_devices,16710.747772216797,122
C9,15981.447551727295,115
card6,15686.792337417603,11
graph_prior_device_distinct_cards,14879.533555984497,72
card5,13011.805805206299,126
dist1,10386.35800743103,88
D14,9666.441625595093,78
D13,9415.684619903564,52
C12,9189.483173370361,34
M4,8929.79638671875,61
graph_prior_address_transaction_count,8262.853649139404,85
D6,5611.339179992676,25
D7,5504.248676300049,35
D11,5075.005184173584,58
dist2,4570.122999191284,52
M3,4076.016508102417,20
M2,3759.546377182007,28
graph_prior_card_distinct_addresses,3383.628486633301,43
D12,3336.745185852051,31
DeviceType,3313.330020904541,15
M9,3246.2212409973145,29
D9,2769.7727088928223,36
C7,2334.0139656066895,10
graph_prior_shared_entity_connectivity,2262.633316040039,8
M8,989.5056114196777,12
C10,728.3123035430908,11
M7,280.1359062194824,5
addr2,70.08779907226562,1
M1,0.0,0
card4,0.0,0
